Time resolution is 1 ps
UVM_INFO C:/Xilinx/Vivado/2024.2/data/system_verilog/uvm_1.2/xlnx_uvm_package.sv(18601) @ 0: reporter [UVM/RELNOTES] 
----------------------------------------------------------------
UVM-1.2
(C) 2007-2014 Mentor Graphics Corporation
(C) 2007-2014 Cadence Design Systems, Inc.
(C) 2006-2014 Synopsys, Inc.
(C) 2011-2013 Cypress Semiconductor Corp.
(C) 2013-2014 NVIDIA Corporation
----------------------------------------------------------------

  ***********       IMPORTANT RELEASE NOTES         ************

  You are using a version of the UVM library that has been compiled
  with `UVM_NO_DEPRECATED undefined.

  You are using a version of the UVM library that has been compiled
  with `UVM_OBJECT_DO_NOT_NEED_CONSTRUCTOR undefined.

      (Specify +UVM_NO_RELNOTES to turn off this notice)

UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_base_test' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_sequence' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_INFO @ 0: reporter [RNTST] Running test fifo_random_test...
UVM_INFO C:/Xilinx/Vivado/2024.2/data/system_verilog/uvm_1.2/xlnx_uvm_package.sv(20867) @ 0: reporter [UVM/COMP/NAMECHECK] This implementation of the component name checks requires DPI to be enabled
Time=0 rst_n=0 wr_en=x rd_en=x wr_data=xxxxxxxx rd_data=xxxxxxxx full=0 empty=1
Time=5000 rst_n=0 wr_en=1 rd_en=0 wr_data=daace7a3 rd_data=xxxxxxxx full=0 empty=1
Time=15000 rst_n=0 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=35000 rst_n=0 wr_en=0 rd_en=1 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=45000 rst_n=0 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=50000 rst_n=1 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=65000 rst_n=1 wr_en=0 rd_en=1 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=75000 rst_n=1 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=95000 rst_n=1 wr_en=0 rd_en=1 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=105000 rst_n=1 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=125000 rst_n=1 wr_en=0 rd_en=1 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=135000 rst_n=1 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=155000 rst_n=1 wr_en=0 rd_en=1 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=165000 rst_n=1 wr_en=0 rd_en=0 wr_data=daace7a3 rd_data=daace7a3 full=0 empty=1
Time=185000 rst_n=1 wr_en=1 rd_en=0 wr_data=ce0dc61e rd_data=daace7a3 full=0 empty=1
Time=195000 rst_n=1 wr_en=0 rd_en=0 wr_data=ce0dc61e rd_data=ce0dc61e full=0 empty=0
Time=215000 rst_n=1 wr_en=1 rd_en=0 wr_data=1f2e1048 rd_data=ce0dc61e full=0 empty=0
Time=225000 rst_n=1 wr_en=0 rd_en=0 wr_data=1f2e1048 rd_data=ce0dc61e full=0 empty=0
Time=245000 rst_n=1 wr_en=1 rd_en=0 wr_data=9752f737 rd_data=ce0dc61e full=0 empty=0
