Time resolution is 1 ps
Time: 0 ns | Lights: 000
Time: 10 ns | Lights: 100
Time: 20 ns | Lights: 100
Time: 30 ns | Lights: 100
Time: 40 ns | Lights: 100
Time: 50 ns | Lights: 100
Time: 60 ns | Lights: 100
Time: 70 ns | Lights: 100
Time: 80 ns | Lights: 100
Time: 90 ns | Lights: 100
Time: 100 ns | Lights: 100
Time: 110 ns | Lights: 001
Time: 120 ns | Lights: 001
Time: 130 ns | Lights: 001
Time: 140 ns | Lights: 001
Time: 150 ns | Lights: 001
Time: 160 ns | Lights: 001
Time: 170 ns | Lights: 001
Time: 180 ns | Lights: 001
Time: 190 ns | Lights: 001
Time: 200 ns | Lights: 001
Time: 210 ns | Lights: 010
Time: 220 ns | Lights: 010
Time: 230 ns | Lights: 010
Time: 240 ns | Lights: 010
Time: 250 ns | Lights: 010
Time: 260 ns | Lights: 010
Time: 270 ns | Lights: 010
Time: 280 ns | Lights: 010
Time: 290 ns | Lights: 010
Time: 300 ns | Lights: 010
Time: 310 ns | Lights: 100
Time: 320 ns | Lights: 100
Time: 330 ns | Lights: 100
Time: 340 ns | Lights: 100
Time: 350 ns | Lights: 100
Time: 360 ns | Lights: 100
Time: 370 ns | Lights: 100
Time: 380 ns | Lights: 100
Time: 390 ns | Lights: 100
Time: 400 ns | Lights: 100
Time: 410 ns | Lights: 001
Time: 420 ns | Lights: 001
Time: 430 ns | Lights: 001
Time: 440 ns | Lights: 001
Time: 450 ns | Lights: 001
Time: 460 ns | Lights: 001
Time: 470 ns | Lights: 001
Time: 480 ns | Lights: 001
Time: 490 ns | Lights: 001
Time: 500 ns | Lights: 001
Time: 510 ns | Lights: 010
Time: 520 ns | Lights: 010
Time: 530 ns | Lights: 010
Time: 540 ns | Lights: 010
Time: 550 ns | Lights: 010
Time: 560 ns | Lights: 010
Time: 570 ns | Lights: 010
Time: 580 ns | Lights: 010
Time: 590 ns | Lights: 010
Time: 600 ns | Lights: 010
Time: 610 ns | Lights: 100
Time: 620 ns | Lights: 100
Time: 630 ns | Lights: 100
Time: 640 ns | Lights: 100
Time: 650 ns | Lights: 100
Time: 660 ns | Lights: 100
Time: 670 ns | Lights: 100
Time: 680 ns | Lights: 100
Time: 690 ns | Lights: 100
Time: 700 ns | Lights: 100
Time: 710 ns | Lights: 001
Time: 720 ns | Lights: 001
Time: 730 ns | Lights: 001
Time: 740 ns | Lights: 001
Time: 750 ns | Lights: 001
Time: 760 ns | Lights: 001
Time: 770 ns | Lights: 001
Time: 780 ns | Lights: 001
Time: 790 ns | Lights: 001
Time: 800 ns | Lights: 001
Time: 810 ns | Lights: 010
Time: 820 ns | Lights: 010
Time: 830 ns | Lights: 010
Time: 840 ns | Lights: 010
Time: 850 ns | Lights: 010
Time: 860 ns | Lights: 010
Time: 870 ns | Lights: 010
Time: 880 ns | Lights: 010
Time: 890 ns | Lights: 010
Time: 900 ns | Lights: 010
Time: 910 ns | Lights: 100
Time: 920 ns | Lights: 100
Time: 930 ns | Lights: 100
Time: 940 ns | Lights: 100
Time: 950 ns | Lights: 100
Time: 960 ns | Lights: 100
Time: 970 ns | Lights: 100
Time: 980 ns | Lights: 100
Time: 990 ns | Lights: 100
Time: 1000 ns | Lights: 100
